,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
0m9Zi6OoNejYRexLBTf3Le,0.995,0.416,0.012,0.901,6,-29.169,0.0692,125.878,0.0857
6cYiVbPLYKEikRkjPmqW44,0.994,0.58,0.00172,0.92,2,-32.045,0.102,64.489,0.318
5xXjqFnvQbxZglR1sGm0Yc,0.992,0.36,0.0177,0.895,1,-23.79,0.0432,70.353,0.0384
5MLCXILX4SZU2ogyVoim0T,0.994,0.335,0.00805,0.932,5,-33.378,0.0497,67.476,0.0742
2MiOWfVA9Uh3I6s7esR333,0.996,0.397,0.0158,0.945,1,-26.831,0.0472,68.004,0.0434
1lOVilzLQuYY2fnFrQ76DK,0.991,0.314,0.0157,0.916,1,-36.252,0.0356,95.89,0.0939
6JWM64yo7VUwBWFqq9VA56,0.995,0.433,0.0127,0.903,5,-26.732,0.0538,117.132,0.0562
1Vx02ogfiHmJSSPwG4oN6p,0.986,0.28,0.0278,0.939,1,-32.301,0.0372,91.264,0.083
5jb8MoXZfOMdE3NDMaGErt,0.995,0.403,0.00713,0.921,1,-32.005,0.0457,66.657,0.0388
2FRnxuLDZ4vSdvER2Xzrv2,0.99,0.402,0.0208,0.919,3,-27.294,0.0449,94.457,0.0862
730GWX13IpfGVL2nHXACdt,0.995,0.373,0.00643,0.931,11,-29.431,0.0382,101.406,0.098
5bg8l1G7AYHajF1l7cZA9G,0.993,0.333,0.032,0.891,1,-23.959,0.0546,68.002,0.0754
3iwsaJPcbSd5nNdjUsdBhn,0.994,0.54,0.00732,0.885,7,-26.783,0.123,71.138,0.165
1YQKgfbWXugGiZObsPPmwY,0.995,0.331,0.0081,0.913,6,-31.266,0.0508,69.012,0.255
2qspLJIbR4qj4X17dZAB1u,0.95,0.325,0.0716,0.844,0,-26.806,0.0516,121.363,0.148
6tfb2ZH1L2snTmLQeqtMhZ,0.99,0.262,0.0109,0.925,10,-28.419,0.047,64.336,0.0395
3xPHiGO18vXlxEPNeKDb0D,0.995,0.349,0.0396,0.902,11,-21.54,0.0399,68.536,0.0432
365YAVsH5iV4wJTAd719e2,0.995,0.233,0.0194,0.877,9,-31.022,0.0362,77.62,0.0585
1fIg2xMn1xYlmiRKGULcEy,0.995,0.497,0.0265,0.943,4,-27.446,0.0575,71.193,0.209
7JeFnpR5Qqr60jYUSo87cR,0.994,0.324,0.0307,0.85,1,-25.574,0.0387,89.288,0.0318
02wVQgZ1PYn0cYm4frKyV1,0.994,0.282,0.126,0.92,5,-20.115,0.0363,62.81,0.0497
1Irla2WKc4YQgbUE0NCroZ,0.974,0.339,0.271,0.892,0,-15.95,0.0314,87.318,0.23
5lut8G3qyWWhChsDK6O9i1,0.996,0.363,0.0012,0.916,9,-35.931,0.0582,75.58,0.436
6d6dE5XZ2VJQ5EY5OSzc9o,0.993,0.366,0.00363,0.922,1,-36.759,0.035,69.378,0.0852
3nuA0sxtRAgaGMjYp9S6li,0.982,0.288,0.0327,0.926,4,-30.072,0.0389,74.485,0.112
4jep6dMPP0z7HrN375InoL,0.995,0.593,0.00543,0.952,7,-35.422,0.0699,76.488,0.314
2fz852X4yLtquJkXx70wUS,0.994,0.541,0.0706,0.95,7,-25.235,0.0445,67.816,0.221
0Jp7n6FKqGVxtXPMVYtMQr,0.985,0.203,0.00399,0.922,1,-35.638,0.0405,74.253,0.0779
4HEoHSEH8cEYGJBzOgXqX3,0.994,0.336,0.0255,0.891,1,-28.163,0.0525,63.588,0.0677
5eRfljNo9nICHm8i77T1rA,0.994,0.417,0.0174,0.873,4,-27.388,0.0349,66.278,0.0552
7zWq6EgtkHLzufeMBUrFX8,0.992,0.272,0.0523,0.926,6,-26.2,0.0436,73.009,0.104
3OBAwHBWCnCzZSBJ6NyKi3,0.985,0.185,0.00969,0.947,7,-36.306,0.042,70.524,0.0719
1FHpgVtsaDeASGQyehjlzS,0.992,0.389,0.0142,0.926,9,-32.378,0.0341,85.227,0.11
0eiT0cfG4TT3u6Zw68A1Kw,0.983,0.29,0.0077,0.921,11,-38.933,0.0434,135.607,0.0386
7sr5w1aRvRl718Ty1smY5p,0.991,0.375,0.00749,0.932,1,-25.457,0.0448,135.244,0.0728
7CnQaFpyuPBjOnebvulior,0.986,0.374,0.132,0.921,10,-20.521,0.0402,130.504,0.104
1Qrrr1RDJVt4VWmyiK018Q,0.993,0.304,0.0146,0.936,1,-27.762,0.0485,62.652,0.0389
4r70etmzxL8oJ97baLcyAL,0.996,0.332,0.00543,0.93,10,-39.082,0.0653,69.829,0.438
4AlMfn0TWQoHYpiebtH0Ri,0.965,0.397,0.104,0.908,7,-22.898,0.0416,73.078,0.124
0XczSrgLpOMBS2IoFxSQCi,0.995,0.333,0.0202,0.95,6,-31.672,0.0521,71.773,0.106
6HJ05x01yMWnlLVDmg1tsp,0.991,0.405,0.00187,0.913,0,-21.84,0.0756,66.198,0.0488
5HB4WvWNSafQ5ZfgZgIOHR,0.995,0.371,0.02,0.905,11,-29.519,0.105,78.005,0.176
0uxPVGVGstzAgEioD17Ut9,0.995,0.325,0.00977,0.932,1,-28.931,0.0378,90.542,0.105
7yMSBYlmVEZYZS6V1SLrth,0.989,0.422,0.0163,0.918,3,-26.561,0.0399,64.079,0.108
1i8rwqiYkeZieUsWHckdGz,0.994,0.475,0.0885,0.917,7,-29.411,0.0558,99.03,0.135
6FvFVWEE22y6EyhQG6Ecs3,0.995,0.35,0.02,0.883,1,-26.772,0.0492,62.835,0.0704
6N7JzrteJv8lsr1GWYyu0b,0.993,0.343,0.0252,0.932,1,-27.013,0.0488,67.207,0.0395
6wXbdX2b6Q87kJ8e1G3SmT,0.994,0.299,0.00328,0.955,4,-40.155,0.06,75.413,0.0966
72avKXjk0UTESGbVsxmjwG,0.992,0.28,0.0058,0.795,11,-36.734,0.0493,75.931,0.0395
