,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
5CG9Ps5ynNjpKJHmwc95pa,0.000598,0.573,0.635,0.0,7,-6.621,0.0275,144.031,0.447
7I5fYc4qKJddht8Ozhqqdx,0.305,0.687,0.793,3.23e-06,5,-3.577,0.0333,100.991,0.673
1zWZvrk13cL8Sl3VLeG57F,0.0318,0.647,0.857,0.0,2,-5.381,0.0397,95.996,0.771
13wYXGimJ5fANFu0y2pqG1,0.0628,0.626,0.831,0.0,7,-5.69,0.0481,100.009,0.304
2Wud6xFXTtFrTtAaViGL0C,0.243,0.517,0.743,3.36e-06,9,-4.336,0.0363,76.979,0.664
5y2pNuAvWcPKiORZ12e44S,0.243,0.54,0.776,0.0,4,-4.155,0.043,164.046,0.784
6W9W8dSswA8KNegvl3W97V,0.000937,0.616,0.893,0.0,11,-3.588,0.0375,111.959,0.567
5fSPbm5lcwtqwXkeQQswW8,0.205,0.589,0.641,0.0,5,-8.12,0.0838,160.031,0.57
5ix3mPn7JFsKTVoidu6dBw,0.0352,0.488,0.833,0.0172,11,-6.571,0.0437,174.006,0.751
596ShP1KQsIzk7dTpJNXJi,0.0594,0.563,0.855,0.0,6,-3.715,0.0727,160.113,0.906
3tBSdTfZuCzgA2PfQrqKpk,0.0081,0.574,0.803,0.0,0,-4.064,0.0279,109.967,0.559
5PNcJn4oFNvlRfrZBHfqWh,0.161,0.634,0.78,0.0,8,-4.928,0.0477,101.066,0.93
5kjyiH6but1t2UDXq15aeS,0.655,0.8,0.759,0.0,11,-5.398,0.0378,129.979,0.821
1yEwEiTpsaPhQi9lb5EVV4,0.432,0.715,0.584,1.41e-06,8,-8.231,0.0296,90.987,0.61
5HGibWoxnkYSkl6mHmAlOE,0.0626,0.66,0.754,0.0,4,-2.84,0.051,110.02,0.899
46ZfPS5VpSQVU5gb82hg3K,0.00172,0.462,0.977,0.0,0,-3.805,0.045,154.038,0.746
0i5el041vd6nxrGEU8QRxy,0.0191,0.457,0.948,0.0,10,-3.364,0.0354,148.0,0.878
5oHHMDcVOmPSFrCgdbHPdb,0.208,0.713,0.772,0.0,2,-6.69,0.0372,125.202,0.88
