,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
0z95CqBxQnSQhNnoWTZJKL,0.559,0.618,0.59,3.42e-05,11,-7.751,0.359,127.275,0.285
0VOsR3sEACivA46VDuaLai,0.00457,0.381,0.668,0.0,1,-4.328,0.0326,75.004,0.104
7acxAP7tiaD8T18IeK7wAq,0.0672,0.599,0.795,0.0,5,-5.127,0.129,94.947,0.888
6lbFEBQz8jYuwsDY1LYEuD,0.189,0.573,0.531,3.56e-05,7,-7.863,0.386,200.404,0.884
3sTN90bIP2cJ1783ctHykO,0.147,0.625,0.763,0.0106,8,-4.997,0.129,88.753,0.721
1285n66OGGUB3Bnh6c18nS,0.0185,0.405,0.64,0.0,4,-6.374,0.144,169.913,0.265
4g64deYSvQZ4w9uGpYz2sL,0.263,0.386,0.714,0.0,6,-5.597,0.381,89.807,0.289
6ZDk3PGFkRKGgk6aSkw2T9,0.00534,0.683,0.782,0.00167,7,-5.324,0.0467,102.983,0.7
1jTWROy3MsaNTgR34AMlJ4,0.00586,0.634,0.692,0.000116,1,-5.646,0.0997,140.029,0.0839
11BPfwVbB7vok7KfjBeW4k,0.0178,0.525,0.699,8.8e-05,9,-4.571,0.0353,92.011,0.199
0pE89jFuJUdGDnxsnpiTeo,0.0219,0.677,0.874,0.00738,1,-5.445,0.129,100.012,0.58
3Oiauiojgokw9vWQvFmEoI,0.00869,0.614,0.726,0.00131,11,-6.441,0.096,144.965,0.315
4fb0iBhHbQeiJHOfLr6R75,0.108,0.45,0.756,0.0205,1,-6.307,0.0389,135.102,0.268
0c8X4ApJu6CNEXoIb5VKMo,0.0143,0.424,0.93,0.00124,11,-4.156,0.0685,75.941,0.129
4UIAJ1WnUvAPPdkzq2rn1i,0.0362,0.56,0.916,0.000963,7,-3.328,0.0661,144.933,0.585
2BVUOGciUUUqOPSLtHwLGp,0.000208,0.514,0.924,0.805,8,-5.417,0.052,151.994,0.0675
1gV0hgMNdpSWeW7ZjSUKnX,0.089,0.74,0.831,0.0,1,-3.828,0.0423,91.026,0.357
5UZNhm49B9ZrunnSf96Nkc,0.179,0.758,0.442,1.44e-06,2,-7.136,0.0765,92.02,0.479
5F95ZvzuoZ1tsCsmLcteGg,0.0237,0.605,0.636,0.0744,0,-4.977,0.0309,89.004,0.56
5UEvfBx5yQ14HALjI8jk3t,0.151,0.677,0.689,0.000207,3,-5.126,0.119,147.864,0.572
57kR5SniQIbsbVoIjjOUDa,0.0113,0.426,0.722,1.27e-06,5,-5.369,0.196,196.133,0.25
2UPXQ1UumX1qBh8COMbo6K,0.0314,0.591,0.737,2.2e-05,7,-4.925,0.0309,105.034,0.43
1mnJ5S9exO5yzkA1eiSq1v,0.0289,0.796,0.792,0.000304,9,-5.773,0.116,119.969,0.514
6aCxdt2bMItKgGKoznDppY,0.248,0.576,0.602,0.000609,0,-6.591,0.315,141.345,0.56
6oNZ0WxqptE7V0qpjtyJ4a,0.0398,0.294,0.697,0.00011,6,-6.029,0.128,160.566,0.183
3QWjljChcOMkRDYSzF33Qr,0.549,0.87,0.502,0.00356,5,-7.497,0.0549,82.53,0.673
3DRDBFh14bHqSttHxYJFF7,0.0313,0.654,0.749,0.00181,10,-4.711,0.0325,94.989,0.354
2qVMpPApKzHOtCAVj9uN8T,0.227,0.663,0.568,9.37e-06,0,-8.409,0.199,195.958,0.558
3mof6Z6vz6gonsuIEQXank,0.0579,0.574,0.576,0.00147,1,-8.267,0.0446,145.094,0.287
3VvBPkc24zC7x05mgJTyGO,0.114,0.53,0.69,0.00217,1,-3.591,0.035,107.014,0.224
1MKfplOg9xC8EIzL9nMBWi,0.0701,0.633,0.53,0.000259,11,-10.668,0.0759,170.009,0.214
4GctZzXkPNwNJPKGTVMl7F,0.0286,0.762,0.696,4.49e-05,6,-5.731,0.0534,111.013,0.581
6dyG6gaCqsbSftvUWzfgJE,0.571,0.67,0.867,0.000112,0,-2.466,0.0429,145.935,0.908
3NRrvr3ctGwpV1wLRjgSSs,0.0056,0.622,0.622,0.0,10,-7.259,0.0289,102.055,0.257
5HN16r4hXgtiKHCER5sSF5,0.109,0.335,0.63,1.24e-06,9,-8.673,0.0559,127.702,0.0759
2U0pVx4m1Kdm1Gsjjm6iq8,0.0134,0.577,0.691,3.43e-06,0,-7.437,0.0393,129.984,0.507
7gHs73wELdeycvS48JfIos,0.0291,0.589,0.651,3.2e-06,6,-5.097,0.0306,90.011,0.166
3TgPhPv7z0D4pQhH8iKmDW,0.0991,0.654,0.606,5.57e-05,2,-8.576,0.0717,90.058,0.358
7dpnZJj7ITXcnmbmLIdEqs,0.0304,0.579,0.578,0.000229,3,-5.361,0.0283,78.582,0.356
02qhH1lM7cnv21869kWW06,0.0171,0.474,0.692,1.83e-05,6,-5.776,0.033,139.884,0.492
2qHA4dcBELgLJphmkFGnLw,0.0214,0.609,0.885,6.86e-06,5,-5.498,0.0578,140.074,0.542
2wQ411UQL2MRsdAgPRUstT,0.329,0.639,0.664,1.53e-06,5,-4.926,0.0357,116.028,0.351
4vEoc44jNQrxdwKkL5c0Fi,0.143,0.486,0.742,0.00137,7,-6.502,0.0839,178.029,0.554
2DGa7iaidT5s0qnINlwMjJ,0.0214,0.654,0.711,0.00191,1,-7.438,0.0383,127.957,0.198
2zLIP4R6Yt3afkyh7uhmar,0.0404,0.567,0.644,5.03e-06,0,-5.699,0.0278,140.038,0.212
1sx4GRirvsRPocH3W04e5a,0.427,0.651,0.377,3.68e-05,1,-10.404,0.0811,123.999,0.401
6O0CiDfUBmoPsmGnLaOdUh,0.564,0.829,0.635,0.908,3,-8.379,0.0392,138.016,0.781
0n30h31bEKiIHXXzPbkdqy,0.511,0.285,0.694,0.000128,11,-3.358,0.0482,170.124,0.163
1VCHNbal0VtE2plMRzvoho,0.26,0.684,0.774,0.0,7,-5.951,0.188,84.991,0.448
6zRoOTthU4stLo88BcFWKg,0.0422,0.56,0.734,1.31e-06,2,-4.439,0.0695,159.931,0.258
2uttaUZCLqEoevwXe8hA9o,0.0024,0.543,0.921,0.0147,3,-6.467,0.0477,140.005,0.17
1Zmfv37UqzfpXnnh3LbXpf,0.326,0.64,0.583,1.16e-05,10,-6.521,0.0496,91.968,0.362
6H0zRPEV1ezBHOidNXSt1D,0.373,0.41,0.711,0.00179,4,-3.064,0.0432,159.837,0.266
6vWk151OrbHfKe4D6Z6tdV,0.178,0.376,0.723,0.0,7,-2.951,0.046,84.146,0.167
0JiVRyTJcJnmlwCZ854K4p,0.186,0.676,0.929,0.000405,10,-3.194,0.0458,97.019,0.157
4TcSvASmTs7HICEY6is1iX,0.325,0.531,0.769,0.0,10,-2.881,0.063,77.351,0.479
4St54I3IqkkI1IVVM0u11y,0.0211,0.655,0.805,0.0118,10,-5.404,0.0339,110.003,0.546
57aXNsEr1RfGCyo7N7vovs,0.0203,0.528,0.656,0.00161,0,-4.992,0.0374,89.959,0.174
78FqPvxBYaOj8KzoOV9MDt,0.483,0.592,0.619,0.831,1,-8.608,0.0566,180.095,0.0635
1iaTDu4PCIWQQOwwwqq5qW,0.158,0.325,0.578,0.00479,2,-6.786,0.0455,144.745,0.103
4heFQCyiW0RUEX1Q1lb008,0.0638,0.602,0.752,0.0,7,-4.931,0.0361,130.037,0.331
1tfVpMI8G6EakZU4rEja4w,0.0129,0.474,0.622,3.82e-06,4,-6.381,0.061,176.062,0.158
3t3oNm7M0HXf7ILqA7vCTP,0.075,0.345,0.79,0.000165,2,-2.761,0.065,179.849,0.208
0lG6QM1jjbbX5UUn3DPmrZ,0.0345,0.736,0.555,0.000157,4,-4.689,0.0757,91.997,0.323
0lks2Kt9veMOFEAPN0fsqN,0.196,0.423,0.634,0.0,6,-5.877,0.0578,150.978,0.467
2sQxYXXs9iyPEggvsizHYG,0.508,0.723,0.448,0.0,7,-7.87,0.223,81.978,0.63
44er6i2sziqJkHAWXUwvhZ,0.0367,0.345,0.718,6.28e-05,3,-5.526,0.0715,87.986,0.5
4d42YQbGZxwYq7YZiCkTDb,0.158,0.173,0.717,0.000417,1,-4.292,0.0475,183.745,0.317
0Vc3nfRMdvY5iX6AHVWSMN,0.039,0.536,0.782,3.64e-05,7,-4.139,0.0485,154.93,0.405
5xXB7wVgRmBHoMBmcfEE3C,0.0138,0.416,0.564,0.00567,6,-7.092,0.032,149.718,0.132
46MWB7gae2kugrgK6KRRw4,0.000129,0.527,0.897,0.546,7,-5.248,0.0377,150.049,0.0796
2Un9MGFwpGdGU9yl9KOvXx,0.228,0.585,0.744,0.0,2,-4.751,0.0419,104.919,0.349
57rOXabUKgkrwHPSqzo4s5,0.463,0.556,0.762,0.0,1,-1.961,0.0299,135.013,0.225
1euVAbcwOwn6N7z11ZWzXX,0.26,0.694,0.896,0.0,7,0.126,0.0742,102.011,0.491
4exC7dUQZn8OgAYQphXyTz,0.869,0.654,0.385,0.877,11,-7.418,0.133,111.965,0.199
2YNVpj4AfBb3HN1QTqEcVB,0.242,0.628,0.817,1.31e-05,4,-4.223,0.0287,119.041,0.539
27YD36FUikKxbp3bKSiKGZ,0.251,0.422,0.677,3.55e-06,11,-5.76,0.0365,150.131,0.146
3nbnyZb8F60d9vHLm8RX9N,0.00562,0.537,0.722,0.000385,11,-5.807,0.0354,131.985,0.413
5W8DSMQe7cbTtKTHY0yEnP,0.00833,0.481,0.729,0.0,5,-4.351,0.0365,91.985,0.297
5iPnsVuITetx7KctVo7RW9,0.0313,0.568,0.728,0.0,7,-6.391,0.0436,127.918,0.165
3b5Li4QKDVBx1x7fQuu54a,0.0428,0.69,0.876,0.0,2,-4.159,0.059,123.994,0.493
53BuvTP1n3An7G44meswQ7,0.359,0.467,0.793,0.00417,0,-7.316,0.0825,80.029,0.269
5qsKdwDWbhNTygUO4mGpix,0.134,0.377,0.858,0.00185,11,-4.9,0.148,174.751,0.117
0cPsHxvuICaPKmWRFCRe1i,0.0445,0.589,0.8,0.0,2,-6.029,0.0439,150.093,0.267
0NuZtgg8ZvqlwnJ9K6COeF,0.21,0.543,0.759,0.0,4,-5.276,0.21,141.882,0.347
0yPWj2trBQazAUasaLmqbU,0.0636,0.381,0.861,0.0,5,-4.407,0.0639,150.006,0.296
2nllFHO6STi0FFLGYcOapO,0.00236,0.486,0.888,0.646,5,-6.733,0.26,180.051,0.334
2OhU1KU1cqMi2bKC8dNY2g,0.00914,0.479,0.746,3.38e-05,4,-6.0,0.178,159.99,0.322
6ZfvGMkIVOYcE0p4OxBa6d,0.0783,0.513,0.529,0.0,3,-7.109,0.0429,153.022,0.158
5ZQMiwA8y8BEslhMmtLxLv,0.0685,0.499,0.791,1.89e-05,3,-3.735,0.0539,99.943,0.25
5CEqDo6Sto6riosBsXuA6t,0.00639,0.438,0.699,0.0182,9,-8.022,0.0413,144.992,0.138
4eP9Et7gkdPf6eeCRNal75,0.0142,0.689,0.769,0.0,8,-5.445,0.0319,122.023,0.556
2ygxpFIvfVzti5zcpkSmue,0.0037,0.586,0.756,0.000395,8,-4.408,0.038,122.011,0.277
18OFJJeEe9elOjnxSh3SQO,0.372,0.553,0.857,0.000314,11,-5.901,0.265,159.997,0.318
4oDrg6LC8su81gJeZbXZzT,0.199,0.629,0.753,3.56e-05,5,-4.729,0.0318,95.029,0.499
0XnHIhm9ppEHHDSRESdEcV,0.194,0.611,0.785,0.0,5,-5.721,0.0707,125.03,0.545
2CkNxPDokO8Rp83H504VUJ,0.0166,0.527,0.851,0.0,11,-4.102,0.0509,96.962,0.49
5HbTUbKSPeNh75aKSW66OF,0.0233,0.51,0.812,0.133,2,-5.782,0.0744,159.885,0.151
4u2RPCt1DdZuGgRvfvnEgb,0.0243,0.432,0.824,0.0443,6,-2.492,0.0639,169.817,0.0397
66U2Ud0RBGfQ0ZQrI2m8FC,0.0139,0.53,0.777,1.69e-05,1,-6.343,0.0515,144.016,0.413
2iNIGwTvHzpv9TBmTz3S9q,0.101,0.675,0.82,0.0125,1,-4.37,0.0371,125.013,0.48
4fFL5ePSIO0ZDXDA8CRSc8,0.00883,0.548,0.959,0.000164,9,-2.731,0.157,145.032,0.0911
57p8CBvPOxrvyCbn6ttl5r,0.0079,0.653,0.91,0.0,10,-3.36,0.0566,126.047,0.0921
290NlYLqIs61GjGZ5DKayj,0.227,0.546,0.772,0.000122,6,-7.72,0.125,150.051,0.156
64iuc7K7UUVqR6ptsXMFr3,0.0424,0.513,0.769,0.00561,8,-5.575,0.0579,140.027,0.234
3URtrx2jjdAPhLH4DsMjgS,0.00598,0.549,0.832,0.00616,0,-6.864,0.0396,140.025,0.208
6ZSO7kPn8IMJFymyticbJO,0.615,0.6,0.412,0.0025,8,-9.343,0.344,113.049,0.408
