,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
0832Tptls5YicHPGgw7ssP,0.413,0.786,0.87,0.000494,1,-3.875,0.0316,100.66,0.864
3e0FzZjTXOUtiJGSClOBrI,0.626,0.528,0.737,0.00911,9,-12.703,0.121,99.361,0.632
7LbfuQVct78YoghmoPtsQ8,0.385,0.671,0.405,0.0,0,-10.052,0.0392,99.678,0.828
2PuUFT13yCzUOZun94WOXv,0.469,0.451,0.364,0.0,9,-13.126,0.0436,154.206,0.298
2X6gdRlGOQgfaXU9ALUQFQ,0.0629,0.546,0.529,0.000567,9,-13.6,0.0436,151.727,0.574
38Ngied9rBORlAbLYNCl4k,0.181,0.644,0.919,0.134,2,-6.289,0.0561,117.459,0.871
4ItljeeAXtHsnsnnQojaO2,0.262,0.525,0.929,2.9e-05,9,-8.56,0.0784,163.503,0.556
5X76oXHcR5uCXali0gOyX5,0.178,0.55,0.576,0.00935,0,-13.475,0.0306,109.837,0.486
7Ar4G7Ci11gpt6sfH9Cgz5,0.221,0.645,0.598,3.53e-06,1,-13.18,0.0335,105.929,0.913
6i8ecOsx4J2Px1maiqzqoG,0.218,0.69,0.54,0.00657,4,-10.516,0.0317,114.846,0.764
0wJoRiX5K5BxlqZTolB2LD,0.00876,0.533,0.905,0.578,2,-5.27,0.0754,108.9,0.486
3MODES4TNtygekLl146Dxd,0.072,0.468,0.607,0.000852,9,-11.367,0.0336,98.429,0.886
5p3JunprHCxClJjOmcLV8G,0.683,0.575,0.318,0.000202,0,-16.729,0.109,104.522,0.385
1b7LMtXCXGc2EwOIplI35z,0.0825,0.787,0.541,0.000311,7,-10.437,0.0403,124.194,0.962
3aoDEt6zSuYQ47gzarlaVo,0.0241,0.469,0.537,0.00201,9,-10.421,0.152,124.193,0.783
3x1v32I3SZNvC7q7bDhcGm,0.334,0.543,0.307,0.0,2,-18.253,0.0414,168.169,0.649
0QwZfbw26QeUoIy82Z2jYp,0.0382,0.476,0.717,7.61e-05,9,-9.192,0.0949,93.584,0.753
1qRA5BS78u3gME0loMl9AA,0.406,0.653,0.519,0.0209,2,-10.164,0.0497,98.883,0.822
5y4761pjcksXs1hNsCmc4n,0.389,0.691,0.592,3.29e-05,2,-8.089,0.0366,115.152,0.736
4d8CxkF9zNGiHWd7lUqyOo,0.0579,0.529,0.854,0.0,4,-4.992,0.0362,129.381,0.961
1dv3ePjze9tPq2pk8eWJdR,0.463,0.63,0.616,0.0408,1,-8.128,0.0309,118.65,0.509
2aoo2jlRnM3A0NyLQqMN2f,0.00255,0.438,0.805,5.69e-05,8,-6.237,0.0624,113.253,0.564
2EqlS6tkEnglzr7tkKAAYD,0.0302,0.533,0.376,0.248,9,-11.913,0.0393,165.007,0.187
0N0q5D8KmH13mmODXJsJqS,0.254,0.407,0.706,0.00693,7,-5.526,0.0348,164.022,0.54
371VkfwKiXJxgH5ZPoQNHD,0.365,0.596,0.448,5.3e-06,5,-9.616,0.0396,83.293,0.796
5ihS6UUlyQAfmp48eSkxuQ,0.883,0.414,0.161,0.000223,7,-22.32,0.0318,159.375,0.423
0NWPxcsf5vdjdiFUI8NgkP,0.00603,0.346,0.768,0.38,9,-5.695,0.0377,169.492,0.532
