,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
1vJOG1Ea4M7WtJlH2b9eM2,0.92,0.53,0.434,0.00975,7,-9.706,0.143,203.817,0.829
4xR1tOO9p4cnDNmIEttfaZ,0.995,0.376,0.467,0.886,3,-13.67,0.0435,163.589,0.73
27NnHXU3w40RFJF9HEpazP,0.99,0.495,0.476,0.893,8,-9.73,0.0413,125.669,0.9
75SK3djaJssHR9TTHTv7wI,0.826,0.688,0.404,0.589,2,-10.655,0.0359,89.237,0.907
5vwYvmB2B5h8GIfEVkwJj2,0.982,0.615,0.269,0.783,5,-14.4,0.0508,98.205,0.752
4TJShilpa5uESzdHfJZIc3,0.793,0.456,0.199,0.887,10,-13.359,0.0515,66.99,0.415
3MJAf5J0vhMMyjCEMXkSwe,0.942,0.616,0.283,0.000174,5,-13.061,0.0378,134.801,0.736
7FcTp1UHxvYA7VGmVobTUh,0.953,0.608,0.214,0.000853,5,-13.049,0.0592,104.3,0.522
3TDSnYnWsSHvkHEE3cGzDu,0.993,0.622,0.389,0.91,5,-12.784,0.129,186.724,0.838
4kt88BPZ52gu1Ti6WDop4a,0.988,0.807,0.206,0.0734,10,-10.916,0.0789,102.301,0.851
1orEenVHBOwWy01LPWpgGr,0.933,0.475,0.464,0.0062,5,-12.026,0.0529,101.951,0.859
5jwIUayn1lV0T80JFu8fub,0.964,0.677,0.208,0.135,7,-14.327,0.0507,99.32,0.487
29BTMxdj9j48TPdlWeeMki,0.568,0.755,0.54,0.58,10,-11.025,0.0302,122.743,0.945
5sj197xVLlMuwxgSCXYEkU,0.931,0.665,0.342,0.0815,8,-12.716,0.0781,81.393,0.859
15AxDcEv579wQjIU7Tw1WV,0.832,0.65,0.448,0.557,10,-9.307,0.032,92.15,0.836
2GJHYQ5LjnpUcync7bry2U,0.731,0.657,0.616,0.898,10,-13.295,0.0469,98.896,0.968
2Oos0KgleLckvaEcWuha4U,0.996,0.518,0.272,0.929,10,-11.907,0.0392,75.754,0.596
5t16G6fEMFn9Jny2cOkUOR,0.55,0.402,0.409,0.292,3,-14.045,0.0459,179.654,0.962
0RQBrW1Q2pqjipu5ZXycTU,0.995,0.595,0.0966,0.161,0,-17.035,0.0668,77.278,0.446
3migOg6WLgzss11IZKi7V0,0.862,0.69,0.205,0.713,7,-12.494,0.0582,94.484,0.932
7vdVwNtx69oiic6J7uZHsR,0.814,0.641,0.345,0.256,6,-14.362,0.257,166.904,0.625
4csGPOrWiUFb87rdrAVuYY,0.945,0.644,0.0965,0.845,8,-13.402,0.0885,114.748,0.635
5TRChKItEqK11O6YtEBEtb,0.292,0.56,0.918,0.826,9,-7.257,0.0685,127.627,0.305
4lpABAEz6pviy9jbCRyEhU,0.942,0.708,0.516,0.919,5,-10.022,0.247,128.535,0.884
5MdHvAvlmQJ3JHIvIK9uXz,0.803,0.679,0.721,0.893,1,-10.36,0.0535,92.43,0.963
6rMN3NP34S3PghhruNd0tc,0.838,0.599,0.226,0.608,2,-11.184,0.127,78.737,0.594
7vcsthwGswnftGiVd3zmm2,0.988,0.692,0.133,0.0141,7,-15.071,0.147,121.866,0.445
0hE1hX24gddDudh2PUVRZg,0.971,0.572,0.263,0.0895,0,-12.609,0.0432,85.893,0.319
5D1067UWNMOaLheXc3JY05,0.993,0.814,0.372,0.101,6,-10.439,0.192,97.656,0.758
5h9A4Lp2bRujQVvkCT3LnP,0.973,0.4,0.132,0.765,8,-13.36,0.0355,93.035,0.312
2flZNQIhdsyuxKZ1zrWg9H,0.968,0.567,0.156,0.0953,0,-13.502,0.0595,94.507,0.728
3G8CaQXI28vjkJzAS9bmIa,0.82,0.48,0.456,0.0322,10,-11.572,0.0873,182.132,0.716
1BHMpKJngIU4iWpzZIj7hm,0.805,0.588,0.516,0.872,7,-7.209,0.0414,179.474,0.86
13upNGpCrJTiFBNB0ZBNzh,0.981,0.626,0.441,0.904,0,-11.718,0.0614,179.511,0.92
2T0kPCyvZSC7EqtTrVPy4D,0.994,0.623,0.123,0.788,9,-14.119,0.623,180.52,0.801
74r86OCsRbPzwaWEu3Wkyg,0.838,0.469,0.434,0.909,3,-11.091,0.0432,79.37,0.584
6OInpPL0EzRXbe9qBx1IEW,0.788,0.472,0.369,0.436,10,-9.767,0.0498,199.217,0.789
3o7Uhh9BI83cYhr5A30lJo,0.897,0.68,0.456,0.753,5,-5.994,0.104,157.985,0.855
1Apv1jcZxLcxfHRZ42DJZt,0.975,0.717,0.539,0.744,10,-10.49,0.124,104.542,0.835
